Gender|Customer Type|Age|Type of Travel|Class|Flight Distance|Food and drink|On-board service|Leg room service|Departure Delay in Minutes|satisfaction|Customer ID|isPilot
Male|Loyal Customer|13.0|Personal Travel|Eco Plus|460|5|4|3|25|neutral or dissatisfied|0|False
Male|disloyal Customer|25.0|Business travel|Business|235|1|1|5|1|neutral or dissatisfied|1|False
Female|Loyal Customer|26.0|Business travel|Business|1142|5|4|3|0|satisfied|2|False
Female|Loyal Customer|25.0|Business travel|Business|562|2|2|-|11|neutral or dissatisfied|3|False
Male|Loyal Customer|61.0|Business travel|Business|214|4|3|4|0|satisfied|4|False
Female|Loyal Customer|26.0|Personal Travel|Eco|1180|1|3|4|0|neutral or dissatisfied|5|False
Male|Loyal Customer|47.0|Personal Travel|Eco|1276|2|3|3|9|neutral or dissatisfied|6|False
Female|Loyal Customer|52.0|Business travel|Business|2035|5|5|5|4|satisfied|7|False
Female|Loyal Customer|41.0|Business travel|Business|853|4|1|2|0|neutral or dissatisfied|8|False
Male|disloyal Customer|20.0|Business travel|Eco|1061|2|2|3|0|neutral or dissatisfied|9|False
Female|disloyal Customer|24.0|Business travel|Eco|1182|2|3|3|0|neutral or dissatisfied|10|False
Female|Loyal Customer|12.0|Personal Travel|Eco+|308|1|1|2|0|neutral or dissatisfied|11|False
Male|Loyal Customer|53.0|Business travel|Eco|834|1|1|1|28|neutral or dissatisfied|12|False
Male|Loyal Customer|33.0|Personal Travel|Eco|946|4|4|5|0|satisfied|13|False
Female|Loyal Customer|26.0|Personal Travel|Eco|453|2|4|3|43|neutral or dissatisfied|14|False
Male|disloyal Customer|13.0|Business travel|Eco|486|4|2|1|1|neutral or dissatisfied|15|False
Female|Loyal Customer|26.0|Business travel|Business|2123|4|5|3|49|satisfied|16|False
Male|Loyal Customer|41.0|Business travel|Business|2075|4|5|5|0|satisfied|17|False
Female|Loyal Customer|45.0|Business travel|Business|2486|3|5|5|7|satisfied|18|False
Male|Loyal Customer|38.0|Personal Travel|Eco|460|5|1|2|17|neutral or dissatisfied|19|False
Male|Loyal Customer|9.0|Business travel|Eco|1174|2|1|5|0|neutral or dissatisfied|20|False
Female|Loyal Customer|17.0|Personal Travel|Eco|208|5|2|5|0|neutral or dissatisfied|21|False
Female|Loyal Customer|43.0|Personal Travel|Eco|752|5|3|3|52|neutral or dissatisfied|22|False
Female|Loyal Customer|58.0|Personal Travel|Eco|0|4|4|4|0|neutral or dissatisfied|23|False
Female|disloyal Customer|23.0|Business travel|Eco|452|1|4|5|54|satisfied|24|False
Male|Loyal Customer|57.0|Personal Travel|Eco|719|5|3|2|27|neutral or dissatisfied|25|False
Female|Loyal Customer|33.0|Business travel|Business|1561|1|4|4|0|satisfied|26|False
Female|Loyal Customer|49.0|Business travel|Eco Plus|315|2|4|4|0|satisfied|27|False
Female|Loyal Customer|36.0|Business travel|Business|3347|1|3|3|18|neutral or dissatisfied|28|False
Male|Loyal Customer|22.0|Personal Travel|Eco|2342|3|2|4|19|neutral or dissatisfied|29|False
Female|Loyal Customer|31.0|Business travel|Business|819|5|5|4|0|satisfied|30|False
Female|disloyal Customer|15.0|Business travel|Eco|1043|5|3|1|3|neutral or dissatisfied|31|False
Female|Loyal Customer|35.0|Business travel|Business|2611|4|3|4|109|satisfied|32|False
Female|Loyal Customer|67.0|Personal Travel|Eco|1192|2|5|4|18|neutral or dissatisfied|33|False
Male|disloyal Customer|37.0|Business travel|Business|1182|1|4|1|9|neutral or dissatisfied|34|False
Female|Loyal Customer|40.0|Business travel|Eco|349|1|3|5|0|neutral or dissatisfied|35|False
Female|disloyal Customer|34.0|Business travel|Business|883|5|5|4|0|neutral or dissatisfied|36|False
Male|Loyal Customer|40.0|Personal Travel|Eco Plus|550|2|5|1|23|neutral or dissatisfied|37|False
Female|Loyal Customer|47.0|Personal Travel|Eco|302|2|4|4|23|satisfied|38|False
Male|disloyal Customer|41.0|Business travel|Business|354|1|3|3|0|neutral or dissatisfied|39|False
Male|Loyal Customer|39.0|Business travel|Business|1734|3|4|4|0|satisfied|40|False
Female|disloyal Customer|25.0|Business travel|Business|1452|3|4|4|9|neutral or dissatisfied|41|False
Male|Loyal Customer|41.0|Business travel|Business|296|2|4|4|0|satisfied|42|False
Female|Loyal Customer|38.0|Business travel|Business|2882|2|5|5|0|satisfied|43|False
Female|Loyal Customer|50.0|Business travel|Business|460|3|3|3|1|satisfied|44|False
Male|Loyal Customer|29.0|Business travel|Business|529|5|4|2|4|satisfied|45|False
Female|Loyal Customer|22.0|Personal Travel|Business|349|4|4|5|0|neutral or dissatisfied|46|False
Female|Loyal Customer|13.0|Business travel|Business|1522|1|3|5|0|neutral or dissatisfied|47|False
